Date,Open,High,Low,Close,Volume,Market Cap
4-Feb-19,0.30258,0.305059,0.299364,0.300198,"418,384,497","12,358,907,415"
3-Feb-19,0.310429,0.311238,0.29937,0.302352,"438,357,004","12,445,862,137"
2-Feb-19,0.308326,0.311578,0.305231,0.310912,"429,425,320","12,798,226,062"
1-Feb-19,0.310839,0.311895,0.299399,0.308517,"564,486,615","12,699,646,520"
31-Jan-19,0.320704,0.333835,0.305866,0.310036,"780,304,474","12,762,148,539"
30-Jan-19,0.289425,0.324064,0.287915,0.320461,"753,787,392","13,191,291,588"
29-Jan-19,0.29506,0.296216,0.285888,0.289558,"454,631,055","11,919,217,295"
28-Jan-19,0.30936,0.309878,0.286563,0.294863,"584,796,818","12,137,576,987"
27-Jan-19,0.314854,0.315266,0.308366,0.309439,"362,599,965","12,737,591,539"
26-Jan-19,0.31726,0.319326,0.314235,0.314235,"346,413,648","12,935,008,078"
25-Jan-19,0.317859,0.319069,0.313824,0.317165,"360,076,505","13,016,563,843"
24-Jan-19,0.316416,0.318896,0.314433,0.317598,"344,960,253","13,034,332,606"
23-Jan-19,0.319566,0.320303,0.314923,0.316492,"375,671,478","12,988,961,767"
22-Jan-19,0.321078,0.321078,0.313455,0.319491,"434,125,854","13,112,032,408"
21-Jan-19,0.321179,0.322593,0.317439,0.32079,"363,940,431","13,165,341,827"
20-Jan-19,0.33122,0.332147,0.317609,0.321177,"407,205,881","13,181,215,054"
19-Jan-19,0.325702,0.333749,0.324911,0.331001,"420,070,097","13,584,427,087"
18-Jan-19,0.329196,0.329494,0.321856,0.324277,"376,280,714","13,308,451,031"
17-Jan-19,0.32969,0.330162,0.32574,0.329353,"433,446,502","13,516,769,990"
16-Jan-19,0.326946,0.334796,0.326174,0.329701,"438,731,638","13,531,060,365"
15-Jan-19,0.333912,0.3365,0.324011,0.327179,"429,283,720","13,427,555,274"
14-Jan-19,0.318354,0.337942,0.318354,0.333766,"545,540,174","13,697,899,741"
13-Jan-19,0.328662,0.333596,0.317098,0.317863,"452,358,902","13,045,216,854"
12-Jan-19,0.333004,0.336381,0.328033,0.3288,"376,386,863","13,494,075,804"
11-Jan-19,0.331284,0.337726,0.327914,0.332904,"501,054,509","13,662,512,032"
10-Jan-19,0.371464,0.381949,0.327159,0.332652,"839,535,352","13,652,158,155"
9-Jan-19,0.365886,0.373522,0.364756,0.37089,"455,908,708","15,130,140,419"
8-Jan-19,0.36442,0.370992,0.360734,0.365315,"499,493,490","14,902,699,115"
7-Jan-19,0.368854,0.37791,0.363387,0.364347,"499,028,522","14,863,201,414"
6-Jan-19,0.35475,0.36966,0.352589,0.368395,"492,558,794","15,028,369,642"
5-Jan-19,0.356347,0.361069,0.353987,0.355275,"452,090,239","14,493,133,457"
4-Jan-19,0.359753,0.364642,0.352785,0.356747,"450,633,876","14,553,198,221"
3-Jan-19,0.374505,0.374505,0.357675,0.360224,"438,873,803","14,695,011,676"
2-Jan-19,0.365675,0.378021,0.359574,0.375243,"543,216,669","15,307,691,624"
1-Jan-19,0.352512,0.364771,0.350402,0.364771,"449,347,622","14,880,496,658"
31-Dec-18,0.371051,0.373793,0.350787,0.352706,"501,793,515","14,388,351,241"
30-Dec-18,0.365248,0.371147,0.362264,0.369581,"486,955,034","15,076,740,856"
29-Dec-18,0.378346,0.383937,0.36708,0.367252,"617,892,297","14,981,716,068"
28-Dec-18,0.341807,0.379416,0.339139,0.376852,"765,420,103","15,373,342,678"
27-Dec-18,0.379106,0.379608,0.336282,0.341162,"575,821,047","13,917,404,309"
26-Dec-18,0.379991,0.391334,0.363441,0.378693,"690,588,635","15,448,432,552"
25-Dec-18,0.408439,0.408439,0.369362,0.380872,"955,306,080","15,537,325,695"
24-Dec-18,0.372398,0.448477,0.372398,0.406799,"1,688,430,313","16,594,994,618"
23-Dec-18,0.363045,0.381476,0.361807,0.37127,"634,162,707","15,145,652,799"
22-Dec-18,0.358885,0.362968,0.34987,0.362308,"487,175,830","14,780,047,340"
21-Dec-18,0.376756,0.384089,0.354035,0.35857,"724,747,471","14,627,554,926"
20-Dec-18,0.347361,0.388974,0.347056,0.378199,"1,006,287,680","15,416,266,366"
19-Dec-18,0.35506,0.39333,0.348201,0.351956,"1,041,279,272","14,346,541,679"
18-Dec-18,0.329022,0.350162,0.325291,0.350162,"753,758,217","14,273,429,559"
17-Dec-18,0.288101,0.336501,0.286942,0.328453,"639,336,585","13,388,520,904"
16-Dec-18,0.285911,0.294169,0.28589,0.287929,"316,135,928","11,784,050,729"
15-Dec-18,0.288699,0.291372,0.282523,0.285883,"277,696,890","11,700,328,892"
14-Dec-18,0.299972,0.30015,0.285112,0.28879,"320,266,797","11,819,314,866"
13-Dec-18,0.30766,0.3078,0.298118,0.300026,"303,413,883","12,279,148,093"
12-Dec-18,0.300671,0.31115,0.300671,0.307323,"370,325,300","12,577,803,841"
11-Dec-18,0.3031,0.310343,0.298095,0.301345,"394,872,461","12,333,147,092"
10-Dec-18,0.313485,0.31621,0.3006,0.303766,"386,627,711","12,432,208,489"
9-Dec-18,0.306451,0.320144,0.304666,0.31337,"430,122,747","12,825,284,624"
8-Dec-18,0.30244,0.318185,0.297232,0.307269,"463,529,471","12,575,595,451"
7-Dec-18,0.310837,0.311059,0.291351,0.301997,"667,331,347","12,359,838,916"
6-Dec-18,0.337083,0.342495,0.31036,0.310936,"517,551,018","12,539,238,458"
5-Dec-18,0.352353,0.353309,0.338242,0.338242,"400,526,135","13,640,400,736"
4-Dec-18,0.348534,0.361431,0.342528,0.352231,"445,334,425","14,204,552,399"
3-Dec-18,0.368598,0.368598,0.346975,0.348754,"392,651,603","14,064,337,569"
2-Dec-18,0.372162,0.378392,0.365732,0.367627,"335,732,170","14,825,428,858"
1-Dec-18,0.362557,0.377056,0.357083,0.372906,"397,266,566","15,038,289,184"
30-Nov-18,0.380538,0.381019,0.355205,0.362455,"512,041,152","14,616,841,112"
29-Nov-18,0.391862,0.392465,0.373789,0.379562,"629,900,577","15,306,739,230"
