week,number_of_posts,week_open,week_close,weekly_price_change,weekly_percent_change
0,456,0.45346899999999996,0.433638,-0.019830999999999932,-4.373176556721614
1,873,0.433886,0.29786999999999997,-0.13601600000000003,-31.348326518947378
2,997,0.297572,0.343978,0.046406,15.594881238826233
3,544,0.344451,0.323776,-0.020675,-6.002305117418732
4,499,0.32364299999999996,0.342523,0.018880000000000063,5.833588243836593
5,525,0.34313699999999997,0.27868000000000004,-0.06445699999999993,-18.78462538286455
6,684,0.280237,0.28116599999999997,0.0009289999999999576,0.331505118881503
7,1856,0.281545,0.570689,0.289144,102.69903567813317
8,1554,0.5706140000000001,0.581572,0.010957999999999912,1.9203875123989091
9,1561,0.583511,0.48203900000000005,-0.10147199999999995,-17.389903532238456
10,810,0.484018,0.40328600000000003,-0.08073199999999997,-16.679544975600074
11,674,0.401654,0.45669399999999993,0.05503999999999992,13.703336702734175
12,600,0.456089,0.46240600000000004,0.006317000000000017,1.385036692399952
13,743,0.46159799999999995,0.46269099999999996,0.0010930000000000106,0.23678612125702683
14,1408,0.46144399999999997,0.5059130000000001,0.04446900000000009,9.636922356775706
15,1693,0.507833,0.510473,0.0026399999999999757,0.5198559368926351
16,2011,0.510127,0.374551,-0.13557599999999997,-26.576911239750096
17,1084,0.375553,0.367627,-0.007926000000000044,-2.1104877340881427
18,1006,0.368598,0.31337,-0.055228,-14.983260896695045
19,842,0.313485,0.287929,-0.025556000000000023,-8.15222418935516
20,939,0.288101,0.37127,0.08316899999999999,28.868001152373644
21,607,0.372398,0.369581,-0.002817000000000014,-0.756448745696812
22,598,0.371051,0.368395,-0.002656000000000047,-0.715804565949168
23,650,0.368854,0.317863,-0.05099100000000001,-13.82416891236099
24,610,0.31835399999999997,0.321177,0.00282300000000002,0.8867487136960805
25,377,0.321179,0.30943899999999996,-0.011740000000000028,-3.6552825682874746
26,625,0.30935999999999997,0.308517,-0.0008429999999999827,-0.27249806051201925
