"","today_post","today_perc_change","today_volume","today_polarity","today_subjectivity","yesterday_posts","yesterday_polarity","yesterday_subject"
"today_post",NA,0.01,0,0.16,0.08,0,0.4,0.18
"today_perc_change",0.01,NA,0,0.86,0.12,0.03,0.59,0.29
"today_volume",0,0,NA,0.32,0.02,0,0.41,0.06
"today_polarity",0.16,0.86,0.32,NA,0,0.79,0.15,0.78
"today_subjectivity",0.08,0.12,0.02,0,NA,0.53,0.52,0.17
"yesterday_posts",0,0.03,0,0.79,0.53,NA,0.17,0.09
"yesterday_polarity",0.4,0.59,0.41,0.15,0.52,0.17,NA,0
"yesterday_subject",0.18,0.29,0.06,0.78,0.17,0.09,0,NA
